"";"orgao";"uniorcam";"funcao";"subfuncao";"programa";"projativ";"rubrica";"recurso_vinculado";"contrapartida_recurso_vinculado";"numero_empenho";"credor";"caracteristica_peculiar";"complemento_recurso_vinculado";"ano_empenho";"cnpj";"data_base";"data_geracao";"entidade";"empenhado";"liquidado";"pago"
"21";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000001200";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"22";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000001229";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"23";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000001791";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"24";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000001792";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"25";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000001811";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"26";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000001848";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";593,56;593,56;593,56
"27";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000001895";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"28";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000002277";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"29";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000002278";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"30";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000002296";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"31";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000002340";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"32";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000002722";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"33";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000002723";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"34";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000002743";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"35";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000002812";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"36";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000003159";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"37";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000003160";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"38";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000003176";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"39";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000003244";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"40";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000003614";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"41";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000003615";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
